path,type,detected_license_expression,detected_license_expression_spdx,percentage_of_license_text,scan_errors,license_expression,detection_log,license_match__score,start_line,end_line,license_match__matched_length,license_match__match_coverage,license_match__matcher,license_match__license_expression,license_match__rule_identifier,license_match__rule_relevance,license_match__rule_url,copyright,holder
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,ofl-1.1,,100.00,173,173,5,100.00,2-aho,ofl-1.1,ofl-1.1_3.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/ofl-1.1_3.RULE,,
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,12,12,,,,,,,,"Copyright (c) 2007, Stephen G. Hartke (lastname at gmail dot com)",
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,13,13,,,,,,,,"Copyright (c) 2007, Stephen G. Hartke (lastname at gmail dot com)",
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,26,26,,,,,,,,"Copyright (c) 2007, Stephen G. Hartke (lastname at gmail dot com)",
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,99,99,,,,,,,,"Copyright (c) 2007, Stephen G. Hartke (lastname at gmail dot com)",
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,12,12,,,,,,,,,Stephen G. Hartke (lastname at gmail dot com)
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,13,13,,,,,,,,,Stephen G. Hartke (lastname at gmail dot com)
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,26,26,,,,,,,,,Stephen G. Hartke (lastname at gmail dot com)
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,99,99,,,,,,,,,Stephen G. Hartke (lastname at gmail dot com)
LibreLists/static/js/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/static/js/addons.js,file,gpl-3.0-plus,GPL-3.0-or-later,49.23,,,,,,,,,,,,,,,
LibreLists/static/js/addons.js,,,,,,gpl-3.0-plus,,97.96,4,15,96,100.00,3-seq,gpl-3.0-plus,gpl-3.0-plus_56.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/gpl-3.0-plus_56.RULE,,
LibreLists/static/js/global.js,file,gpl-3.0-plus,GPL-3.0-or-later,18.86,,,,,,,,,,,,,,,
LibreLists/static/js/global.js,,,,,,gpl-3.0-plus,,97.96,4,15,96,100.00,3-seq,gpl-3.0-plus,gpl-3.0-plus_56.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/gpl-3.0-plus_56.RULE,,
LibreLists/static/js/pops.js,file,gpl-3.0-plus,GPL-3.0-or-later,13.11,,,,,,,,,,,,,,,
LibreLists/static/js/pops.js,,,,,,gpl-3.0-plus,,100.00,6,17,102,100.00,2-aho,gpl-3.0-plus,gpl-3.0-plus_290.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/gpl-3.0-plus_290.RULE,,
LibreLists/static/js/pops.js,,,,,,,,,4,4,,,,,,,,Copyright (c) 2023 Adrian Bogdan,
LibreLists/static/js/pops.js,,,,,,,,,4,4,,,,,,,,,Adrian Bogdan
LibreLists/static/js/utils.js,file,gpl-3.0-plus,GPL-3.0-or-later,13.71,,,,,,,,,,,,,,,
LibreLists/static/js/utils.js,,,,,,gpl-3.0-plus,,97.96,4,15,96,100.00,3-seq,gpl-3.0-plus,gpl-3.0-plus_56.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/gpl-3.0-plus_56.RULE,,
LibreLists/templates/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/templates/base.html,file,,,0,,,,,,,,,,,,,,,
LibreLists/templates/edit.html,file,,,0,,,,,,,,,,,,,,,
LibreLists/templates/index.html,file,,,0,,,,,,,,,,,,,,,
LibreLists/templates/dialogues/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/templates/dialogues/addColumn.html,file,,,0,,,,,,,,,,,,,,,
LibreLists/templates/dialogues/addRecord.html,file,,,0,,,,,,,,,,,,,,,
LibreLists/templates/dialogues/base.html,file,,,0,,,,,,,,,,,,,,,
LibreLists/templates/dialogues/createTable.html,file,,,0,,,,,,,,,,,,,,,
LibreLists/templates/dialogues/editRecord.html,file,,,0,,,,,,,,,,,,,,,
